"rn"	"PValue"	"FDR"
"g1471"	0.0051044387939113	0.0452821606408317
"g15892"	0.00514746046180049	0.0453020699905486
"g7934"	0.005159329295844	0.0453020699905486
"g9416"	0.00537876814979292	0.0469891369837239
"g7581"	0.00543546530003057	0.0472203600270565
"g10951"	0.00546011135699259	0.0472203600270565
"g1258"	0.00553905859226204	0.0476635991864149
"g7925"	0.00558289774292454	0.047801825948125
"g12821"	0.00562422678348943	0.047917298487056
"g20364"	0.00570764507042448	0.0483884589468006
"g1716"	0.00578720184127562	0.0488224233766438
"g5218"	0.0058977714123151	0.0495125102468014
