"","logFC","logCPM","LR","PValue","FDR"
"g4938",0.520265794577057,7.74345505822384,13.5157903430897,0.000236564480986466,0.00376969881275656
"g2982",-0.980731602445251,8.84935305791602,13.2455943735887,0.000273221261493915,0.00431388799111034
"g5456",0.434158601237738,6.24668273985594,13.059636016781,0.000301728065742887,0.00472067273766827
"g7736",-0.580120613766386,6.24658656913114,13.0267071083249,0.000307080025301507,0.00476112363553057
"g18707",-0.691766423590101,6.56923341251952,12.9244197596181,0.000324323172890965,0.00498357304058349
"g6297",0.762350045774279,7.15954752388999,12.8230364887223,0.000342377621045386,0.00521444146742575
"g11678",-0.568932270987066,6.5098835783176,12.7867713896328,0.000349079062048544,0.00526986899811881
"g5759",-0.4338951441245,6.89926428140065,12.7288804590005,0.000360052011492351,0.00538825662415944
"g20056",-0.535367974414435,6.38611501144238,12.6807774146235,0.000369433936946386,0.00548099832314422
"g20877",-0.693837299735657,7.29946095390627,12.6503417080457,0.000375497039029955,0.0055233367877825
"g1680",-0.392681397943535,6.26998180522079,12.5662240259488,0.000392781396693353,0.00572861681109543
"g8103",0.485260810434064,5.83799102490909,12.5051211237315,0.000405838032143963,0.00586930464974589
"g1378",-0.830389916400696,7.87180304022498,12.3984726261272,0.000429685164965008,0.00616240140753983
"g19019",-0.737922849965481,5.81588149246932,12.2942794713525,0.00045434874075406,0.0064622659738656
"g4365",0.540381857949549,6.26506241130162,12.1650722101905,0.000486927799588251,0.00686887494337197
"g5907",0.433488011276676,6.98544901166665,11.7505725020761,0.000608245261474477,0.00851048857721606
"g10482",-0.403252589039862,6.75815034461751,11.7189763875678,0.000618659747995156,0.00858639859919083
"g7762",0.542623872911696,8.42665161507471,11.6153994292731,0.000654079896667872,0.00900537201732326
"g9962",0.404701235516981,6.03800868902666,11.5208566266397,0.000688196693043168,0.00927482608065524
"g3815",0.396109106959375,6.28191322786834,11.5058949492818,0.000693758199376294,0.00927482608065524
"g5901",0.422530240295663,6.14726142464948,11.5027452993989,0.000694934749805122,0.00927482608065524
"g8109",0.552771408770226,8.93281867181316,11.5020152007884,0.000695207765487813,0.00927482608065524
"g7814",-0.579319693062473,8.8199977029732,11.2888045993454,0.000779758724231032,0.0103228058800124
"g7671",0.391740890744416,6.33490468469253,11.1480469329319,0.000841201906919065,0.0110512097847917
"g18761",-0.499105568321815,6.42274087507848,11.1335627867701,0.000847795934904379,0.0110534606361397
"g2699",-0.385435080775672,6.29732992618177,11.1074298460351,0.000859825637512128,0.0111260144523186
"g5647",-0.632253797106615,6.20907425820334,11.0430858540775,0.000890185655809265,0.0114329068182668
"g3138",0.420381736630281,6.53220244350845,10.8903399242607,0.000966670863965415,0.0123232633843295
"g15894",0.414304520329518,6.16316759551007,10.8730502075211,0.000975736979368915,0.0123473775109846
"g4178",-1.59674403814945,5.30668589386798,10.7975252240263,0.00101635875237193,0.0127142849779631
"g16438",-0.412250041623834,6.11118277429503,10.7918002072216,0.00101950687214347,0.0127142849779631
"g16024",-0.703489672756327,5.78640706353619,10.7748246398502,0.00102889963393234,0.0127269038914435
"g5683",0.399919611913126,6.80962915435755,10.763330950361,0.00103530885810697,0.0127269038914435
"g1226",-0.909056622183339,6.23312372669286,10.5090460235745,0.00118791566879341,0.0144993111063366
"g7801",-0.450479317303522,6.16120188784089,10.4304607592107,0.00123953815713233,0.0150228532987658
"g4457",-0.549667788522145,7.13034756225071,10.3028360190618,0.00132825919467512,0.0159855529652859
"g2767",-0.534021486802466,7.48838328521029,10.2861512402207,0.00134032367658743,0.0160187294958817
"g12034",0.507935414160778,7.83904144468469,10.2605114217597,0.00135907998856464,0.0160580613140468
"g11754",-0.499708698115833,6.59823877235917,10.2561782630593,0.00136227597434679,0.0160580613140468
"g11023",-0.697559238887852,12.8496669733927,10.1493162338438,0.00144354775555635,0.016900310798044
"g19487",-0.603459303144795,8.19639469954925,10.0793978029777,0.0014993632807482,0.017363298229418
"g7914",-0.601511495623581,6.93028180854535,10.0746004311679,0.00150327218836914,0.017363298229418
"g8699",-0.509763375722357,6.93461122803422,10.0454329724015,0.00152726102377839,0.0175227748128174
"g6732",0.502702718602322,5.71384677614048,9.9716889219117,0.00158965606754572,0.0181178681605708
"g10785",-0.438447990175321,6.7267696879492,9.92210471634289,0.00163305530656012,0.0184900538328287
"g1306",0.357530836963451,6.3561772747854,9.87452978452748,0.00167582418842524,0.0188502838449663
"g10696",-3.93907177261792,5.05168357784066,9.80967818938173,0.00173595879995051,0.019399903212434
"g4716",0.358459329045062,6.69510118921604,9.69654799132312,0.00184614494286649,0.0204981641720854
"g10973",-0.387722010026973,6.17494042318719,9.54241304984225,0.00200777607078029,0.0221498885757235
"g15249",0.360225261313069,6.04319073677553,9.46592793428807,0.00209323518679775,0.0229455908055982
"g14533",-0.501134536186747,5.83023331512118,9.42041750855996,0.00214582659074111,0.0233732124219332
"g14427",-0.607730308472895,6.38460500697461,9.37958985583604,0.00219414637680713,0.0237492195879564
"g20322",-0.658495894159484,5.64244725212204,9.35673977552485,0.00222166979315823,0.0238968357126582
"g1558",0.493749275861992,5.80574598917199,9.33281096873326,0.0022508681034865,0.0240605217770203
"g8933",0.451839167295188,8.31195947062333,9.21241201613605,0.00240379777253927,0.0255366417687659
"g20149",0.904570632646023,5.45345434386527,9.19398178847759,0.00242812118579166,0.025636788716242
"g8185",0.482140366123417,9.21748996988878,9.09304348926347,0.00256583540942343,0.0269256264610837
"g11079",0.408007714288674,5.91269264833204,9.05606633896059,0.00261824660293146,0.0271807725143431
"g8449",-0.373322966582541,6.59381234307804,9.05363100603734,0.00262173633781578,0.0271807725143431
"g18775",0.542395368010626,9.038577204362,8.95886738638836,0.0027612602712107,0.028455861836848
"g11192",-0.399063088282766,6.1164220142125,8.93969958822003,0.00279038608300505,0.0285848479098315
"g11367",-0.336364150984438,6.43196524157721,8.82014500358157,0.00297922990179667,0.0303387849762844
"g19600",-0.565638252377024,5.66700524709139,8.79378025985998,0.00302259265879465,0.0305993056810917
"g883",-0.464005892482795,7.1067027571626,8.77450824514105,0.00305469501390363,0.0307434509878839
"g1650",0.389356149551518,6.24899692314733,8.71306542944005,0.00315937504974821,0.0316121189570737
"g11060",0.373973020227545,6.11369313168642,8.68682939016661,0.00320517704540347,0.0318850271395339
"g14509",-0.642992505571777,6.74174754593668,8.64126550424947,0.00328633074952612,0.0325044552869796
"g11775",0.371093290697413,6.97969717463493,8.60845801035186,0.00334605467043435,0.0329060576446716
"g9624",-0.586803494769255,5.94092707074453,8.55663667190828,0.00344264854498558,0.033663625829092
"g14394",-0.330202458813232,6.85244898022436,8.4121964408583,0.00372712096082245,0.0362394077603132
"g10533",-0.493456985581838,8.77215021316837,8.28284752809668,0.0040021317769849,0.0386947684729832
"g18166",-0.425851682354047,6.00141516037639,8.26486947145673,0.00404195671421495,0.0388614944422566
"g877",0.329624621683324,6.31298470937626,8.25401667933466,0.00406619274959431,0.0388773206780656
"g20078",-0.627534896594603,6.13345913742683,8.20315882797565,0.00418175217064906,0.0394406040730017
"g11032",0.398365802679529,6.45880311459221,8.19799311962264,0.00419367516887188,0.0394406040730017
"g6588",-0.803175777804088,5.93893518566292,8.19791379027854,0.00419385853884911,0.0394406040730017
"g18587",-0.370088887425455,6.09221086967962,8.13335352600332,0.00434582925921087,0.0406476747559886
"g14593",-0.392267526002616,6.50149198992194,8.12061947236653,0.00437646019207033,0.0407129080570434
"g4862",-0.398379313167228,7.52625113732634,8.09617376798189,0.00443588019495017,0.0410438162124153
"g11645",-0.656990860887375,6.19983816571126,7.98427458251678,0.00471853982028009,0.043425706046535
"g16041",-0.408814507340568,6.13150557513689,7.89978570489388,0.00494406543158632,0.045025688235628
"g9257",-0.32680082372992,6.90532783537571,7.89075710133876,0.00496880608673245,0.045025688235628
"g12563",0.35020996001097,6.08607255674915,7.88342677879174,0.00498898578932851,0.045025688235628
"g232",-0.667265121863369,6.0243499001587,7.8788991773508,0.00500149155899699,0.045025688235628
"g18872",-0.379497526929375,7.27629628793663,7.86664852522134,0.00503548969831908,0.045025688235628
"g2762",0.428820451281123,5.89716095038934,7.86167285837794,0.0050493653860989,0.045025688235628
"g1471",-0.528246333259074,9.25566355849497,7.84206061496036,0.0051044387939113,0.0452821606408317
"g15892",0.449893854741141,7.89384539574847,7.82688957254162,0.00514746046180049,0.0453020699905486
"g7934",-0.359538481126412,6.01439025104713,7.82272691903261,0.005159329295844,0.0453020699905486
"g9416",-0.304198200600528,6.29425076066694,7.74747538470868,0.00537876814979292,0.0469891369837239
"g7581",-0.323315926761666,6.81837499550219,7.72854101875297,0.00543546530003057,0.0472203600270565
"g10951",-0.351798664316156,6.23516327978932,7.72037302310988,0.00546011135699259,0.0472203600270565
"g1258",0.363679814870144,5.93265731140464,7.69445979606645,0.00553905859226204,0.0476635991864149
"g7925",0.332003117743945,6.27717907095309,7.68023241121998,0.00558289774292454,0.047801825948125
"g12821",0.407078182491694,5.77168426555836,7.66692359419516,0.00562422678348943,0.047917298487056
"g20364",-0.361421779496403,6.75397588660166,7.64036234078604,0.00570764507042448,0.0483884589468006
"g1716",-0.538980693433177,6.56424582005762,7.61539695320575,0.00578720184127562,0.0488224233766438
"g5218",0.468054827753271,5.66314969009638,7.5812748686367,0.0058977714123151,0.0495125102468014
